               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090443,            0.031045,            0.042406,           0.0050863,             0.47778,            0.017389,            0.005424,             0.07836,            0.022359,            0.039704,              0.0982,              0.0002,              0.0002
                   1,             0.11395,             0.03147,            0.046337,           0.0071893,                 0.7,            0.016761,           0.0051042,            0.077871,            0.021925,            0.039026,            0.095495,          0.00049505,          0.00049505
                   2,             0.10245,            0.033039,            0.044661,           0.0067635,                 0.7,            0.014921,           0.0055144,            0.076146,            0.021192,            0.037952,            0.092784,          0.00078416,          0.00078416
                   3,             0.09075,            0.033689,            0.046339,           0.0089721,             0.81111,            0.028164,           0.0061747,            0.073973,             0.02009,            0.037065,            0.090067,           0.0010673,           0.0010673
                   4,             0.09297,            0.033547,             0.04491,           0.0092229,             0.83333,            0.050502,            0.015015,            0.069334,            0.018888,            0.036276,            0.087345,           0.0013446,           0.0013446
                   5,            0.079028,            0.033834,            0.042606,           0.0070701,             0.66667,             0.11137,             0.04885,            0.067256,            0.018144,            0.035185,            0.084616,           0.0016158,           0.0016158
                   6,            0.069987,            0.033036,            0.040506,           0.0069963,             0.83333,              0.1204,            0.029194,            0.058703,            0.017158,            0.036111,            0.081881,           0.0018812,           0.0018812
                   7,            0.072161,            0.029324,            0.036618,            0.007176,                   1,             0.11442,            0.028874,            0.051508,            0.016746,            0.035768,            0.079141,           0.0021406,           0.0021406
                   8,            0.050443,             0.03189,            0.031348,             0.38571,             0.11111,             0.10682,            0.030739,             0.04061,            0.015856,            0.034406,            0.076394,           0.0023941,           0.0023941
                   9,            0.062822,            0.028098,            0.033987,               0.778,            0.086665,             0.20111,            0.078252,            0.035526,            0.015655,            0.033005,            0.073642,           0.0026416,           0.0026416
                  10,            0.069354,            0.029655,            0.038852,             0.73728,             0.16667,             0.30948,              0.1483,            0.030363,            0.014493,            0.031063,            0.070883,           0.0028832,           0.0028832
                  11,            0.070918,            0.029395,            0.035436,             0.71575,             0.22222,             0.27821,             0.11547,            0.029206,            0.014373,            0.028751,            0.068119,           0.0031189,           0.0031189
                  12,            0.074315,            0.028288,            0.033719,             0.51779,                 0.4,             0.31163,             0.16997,            0.024515,            0.013899,             0.02563,            0.065349,           0.0033486,           0.0033486
                  13,            0.053336,            0.026303,            0.027589,             0.18691,             0.56667,             0.28613,              0.1241,            0.026612,            0.013525,            0.024785,            0.062572,           0.0035723,           0.0035723
                  14,            0.048235,            0.026561,            0.026146,            0.071331,             0.73333,             0.15544,            0.064482,            0.033337,            0.013028,            0.021452,             0.05979,           0.0037902,           0.0037902
                  15,            0.066926,            0.020325,            0.025765,             0.19787,             0.76667,             0.33144,             0.20305,            0.025833,            0.012569,            0.021667,            0.057002,           0.0040021,           0.0040021
                  16,            0.047907,            0.022488,            0.027684,             0.19394,             0.93333,              0.4289,             0.28619,            0.026587,            0.011406,            0.020973,            0.054208,            0.004208,            0.004208
                  17,            0.051931,            0.023806,            0.027176,             0.30843,             0.76667,             0.53183,             0.20746,             0.03043,            0.010398,            0.020017,            0.051408,            0.004408,            0.004408
                  18,            0.053269,            0.019454,            0.026095,             0.55584,                 0.6,             0.56128,             0.38476,             0.02548,            0.009554,            0.019806,            0.048602,           0.0046021,           0.0046021
                  19,            0.046588,            0.021023,            0.023943,            0.060705,              0.7872,             0.12388,            0.051838,            0.033138,           0.0087983,            0.018748,             0.04579,           0.0047902,           0.0047902
                  20,            0.061737,            0.018332,            0.026053,             0.19521,              0.7886,             0.41694,             0.25022,            0.027489,           0.0081192,            0.018769,            0.042972,           0.0049724,           0.0049724
                  21,            0.038243,             0.01826,             0.02061,             0.33879,             0.76667,             0.61547,             0.37016,             0.02869,           0.0076458,            0.019586,            0.040149,           0.0051487,           0.0051487
                  22,            0.053835,            0.021203,            0.024063,             0.45756,             0.93333,             0.66907,             0.40607,            0.032929,           0.0071952,             0.01919,            0.037319,            0.005319,            0.005319
                  23,            0.058146,            0.022569,            0.020899,             0.43504,             0.75556,             0.65174,             0.38999,             0.03055,           0.0070524,            0.018636,            0.034483,           0.0054833,           0.0054833
                  24,            0.047912,            0.020534,            0.022006,             0.46011,             0.76798,             0.61553,             0.31669,            0.030565,           0.0066969,            0.018237,            0.031642,           0.0056418,           0.0056418
                  25,            0.052301,            0.017786,            0.035252,             0.56645,             0.73689,             0.60846,             0.38592,            0.028457,            0.006515,            0.017133,            0.028794,           0.0057942,           0.0057942
                  26,            0.048007,             0.01874,            0.033934,             0.57811,             0.72889,             0.69247,             0.45072,            0.026657,           0.0065561,            0.016455,            0.025941,           0.0059408,           0.0059408
                  27,            0.055919,            0.019366,            0.018874,             0.66396,             0.70544,              0.8515,             0.52256,             0.02196,           0.0064922,            0.014197,            0.023081,           0.0060814,           0.0060814
                  28,            0.051672,            0.019012,            0.017913,             0.66396,             0.70544,              0.8515,             0.52256,             0.02196,           0.0064922,            0.014197,            0.020216,           0.0062161,           0.0062161
                  29,            0.053697,            0.019531,            0.015375,             0.78485,             0.58038,             0.76615,             0.42054,            0.021888,           0.0064284,            0.013783,            0.017345,           0.0063448,           0.0063448
                  30,            0.051628,            0.017082,            0.015275,             0.53106,             0.73006,             0.65215,             0.37146,            0.029876,           0.0057222,            0.013424,            0.014468,           0.0064676,           0.0064676
                  31,            0.042108,            0.016825,            0.016269,             0.48474,             0.73052,             0.59969,             0.26025,             0.02578,           0.0057036,            0.013733,            0.011584,           0.0065844,           0.0065844
                  32,            0.056988,            0.015438,            0.015354,             0.48474,             0.73052,             0.59969,             0.26025,             0.02578,           0.0057036,            0.013733,           0.0086954,           0.0066954,           0.0066954
                  33,            0.048257,             0.01813,            0.016793,             0.52146,             0.73431,             0.70322,             0.47602,            0.022902,           0.0056862,             0.01383,            0.006733,            0.006733,            0.006733
                  34,            0.042182,            0.016064,            0.015542,             0.49362,             0.74444,             0.76647,             0.54609,             0.02077,           0.0055744,            0.013393,            0.006733,            0.006733,            0.006733
                  35,            0.049565,            0.016471,            0.015176,             0.48577,             0.74037,             0.54286,             0.27746,            0.031471,           0.0053561,            0.013296,            0.006634,            0.006634,            0.006634
                  36,            0.046794,            0.014532,            0.016842,             0.48577,             0.74037,             0.54286,             0.27746,            0.031471,           0.0053561,            0.013296,            0.006535,            0.006535,            0.006535
                  37,            0.047186,            0.020639,            0.016683,              0.5286,             0.71538,             0.65563,             0.30351,            0.029649,           0.0054251,            0.013352,            0.006436,            0.006436,            0.006436
                  38,            0.052034,            0.018264,            0.021556,             0.31658,              0.7412,             0.59272,              0.3889,            0.025809,           0.0049644,            0.014023,            0.006337,            0.006337,            0.006337
                  39,            0.049886,            0.016482,            0.015509,             0.35365,             0.89968,             0.63873,             0.43318,            0.023767,           0.0051764,            0.013774,            0.006238,            0.006238,            0.006238
                  40,              0.0477,            0.017785,             0.02385,             0.35365,             0.89968,             0.63873,             0.43318,            0.023767,           0.0051764,            0.013774,            0.006139,            0.006139,            0.006139
                  41,            0.055665,            0.015882,            0.015231,             0.37827,             0.98007,             0.67748,              0.4278,            0.024007,            0.005165,            0.013271,             0.00604,             0.00604,             0.00604
                  42,            0.047199,            0.016291,            0.020228,             0.49973,             0.74368,             0.55531,             0.32921,             0.02579,           0.0049856,            0.012855,            0.005941,            0.005941,            0.005941
                  43,            0.048971,            0.014929,            0.020452,             0.54771,             0.77621,             0.79933,             0.50972,            0.021107,           0.0048017,            0.011694,            0.005842,            0.005842,            0.005842
                  44,            0.048415,            0.015997,            0.011405,             0.54771,             0.77621,             0.79933,             0.50972,            0.021107,           0.0048017,            0.011694,            0.005743,            0.005743,            0.005743
                  45,            0.039008,            0.016581,            0.012652,             0.54116,             0.78566,             0.70959,             0.41816,            0.019166,           0.0050809,             0.01125,            0.005644,            0.005644,            0.005644
                  46,            0.051688,            0.016199,             0.01071,             0.58191,             0.74339,             0.72554,             0.46283,            0.023356,           0.0051939,            0.010663,            0.005545,            0.005545,            0.005545
                  47,            0.046351,            0.013435,            0.015278,             0.44557,             0.83612,             0.63021,             0.38709,            0.022632,           0.0053292,            0.010628,            0.005446,            0.005446,            0.005446
                  48,            0.053401,            0.019011,            0.016849,             0.44557,             0.83612,             0.63021,             0.38709,            0.022632,           0.0053292,            0.010628,            0.005347,            0.005347,            0.005347
                  49,            0.051024,            0.016242,            0.031285,             0.32191,             0.68889,             0.49139,             0.34024,             0.02331,           0.0053372,            0.010446,            0.005248,            0.005248,            0.005248
                  50,            0.047434,            0.014483,            0.011713,             0.72723,             0.70433,             0.80145,             0.50535,            0.018769,           0.0049463,            0.010226,            0.005149,            0.005149,            0.005149
                  51,             0.03458,            0.015929,            0.011654,             0.58559,              0.7438,             0.66808,             0.25212,            0.023219,           0.0051073,           0.0099848,             0.00505,             0.00505,             0.00505
                  52,            0.057221,            0.014352,            0.016095,             0.58559,              0.7438,             0.66808,             0.25212,            0.023219,           0.0051073,           0.0099848,            0.004951,            0.004951,            0.004951
                  53,            0.033226,             0.01508,            0.011958,              0.5449,             0.82371,             0.71955,             0.42833,            0.018449,           0.0050462,            0.009942,            0.004852,            0.004852,            0.004852
                  54,             0.03532,             0.01494,            0.014534,             0.40877,             0.61487,             0.55883,             0.34249,            0.024064,             0.00512,           0.0098657,            0.004753,            0.004753,            0.004753
                  55,            0.032382,            0.013389,            0.011206,             0.62445,             0.80453,             0.78666,             0.47511,            0.024457,           0.0046581,           0.0097008,            0.004654,            0.004654,            0.004654
                  56,            0.033841,            0.013006,            0.012651,             0.62445,             0.80453,             0.78666,             0.47511,            0.024457,           0.0046581,           0.0097008,            0.004555,            0.004555,            0.004555
                  57,            0.032313,            0.014599,           0.0090553,             0.55012,             0.90972,             0.80601,              0.5389,            0.021456,           0.0047219,           0.0093955,            0.004456,            0.004456,            0.004456
                  58,            0.044873,            0.017368,            0.015861,              0.4789,             0.83333,             0.72581,             0.29258,            0.020314,           0.0049779,           0.0085202,            0.004357,            0.004357,            0.004357
                  59,            0.053865,            0.016157,            0.012393,             0.67918,             0.69217,             0.81827,             0.56587,            0.019174,           0.0048171,           0.0087215,            0.004258,            0.004258,            0.004258
                  60,            0.042768,            0.015064,            0.015304,             0.67918,             0.69217,             0.81827,             0.56587,            0.019174,           0.0048171,           0.0087215,            0.004159,            0.004159,            0.004159
                  61,            0.036629,            0.015929,            0.010828,             0.65002,             0.94444,             0.83021,             0.56137,            0.018144,           0.0047263,           0.0080609,             0.00406,             0.00406,             0.00406
                  62,            0.031066,            0.017129,            0.011938,             0.64058,             0.98342,             0.83648,             0.52397,            0.018074,           0.0046067,           0.0077883,            0.003961,            0.003961,            0.003961
                  63,            0.030413,            0.014698,           0.0091427,             0.42087,             0.82222,             0.62135,             0.38236,            0.021469,           0.0046806,            0.007103,            0.003862,            0.003862,            0.003862
                  64,            0.054494,            0.017436,            0.013269,             0.42087,             0.82222,             0.62135,             0.38236,            0.021469,           0.0046806,            0.007103,            0.003763,            0.003763,            0.003763
                  65,            0.036969,             0.01453,            0.012952,             0.41939,             0.87753,             0.66833,             0.41441,            0.020509,           0.0045786,           0.0062822,            0.003664,            0.003664,            0.003664
                  66,            0.040277,            0.013926,            0.024917,             0.55523,              0.8975,             0.84825,             0.60514,             0.01761,           0.0043812,           0.0060209,            0.003565,            0.003565,            0.003565
                  67,            0.050477,            0.016304,            0.015114,             0.77921,              0.8358,             0.92202,             0.58336,             0.01686,           0.0043127,           0.0058674,            0.003466,            0.003466,            0.003466
                  68,            0.032413,            0.013131,            0.012309,             0.77921,              0.8358,             0.92202,             0.58336,             0.01686,           0.0043127,           0.0058674,            0.003367,            0.003367,            0.003367
                  69,            0.030071,             0.01442,             0.01018,             0.74569,             0.94444,             0.92614,             0.69715,             0.01452,            0.004239,           0.0056817,            0.003268,            0.003268,            0.003268
                  70,            0.028838,            0.014466,           0.0092775,             0.71232,             0.93263,             0.91148,             0.63564,            0.015217,            0.004253,           0.0056892,            0.003169,            0.003169,            0.003169
                  71,            0.041452,               0.015,           0.0095741,             0.83257,             0.83742,             0.93595,             0.65626,            0.014584,           0.0043636,            0.005731,             0.00307,             0.00307,             0.00307
                  72,            0.029241,            0.013756,            0.011519,             0.83257,             0.83742,             0.93595,             0.65626,            0.014584,           0.0043636,            0.005731,            0.002971,            0.002971,            0.002971
                  73,            0.024303,            0.013084,           0.0073621,             0.76898,             0.97296,             0.92019,             0.66189,            0.013111,           0.0044843,           0.0061593,            0.002872,            0.002872,            0.002872
                  74,            0.021714,            0.012365,           0.0097259,             0.63707,             0.99923,             0.88433,             0.58794,            0.016204,           0.0045637,           0.0065604,            0.002773,            0.002773,            0.002773
                  75,            0.034405,             0.01504,            0.009262,             0.80353,             0.90403,               0.907,               0.622,            0.014533,           0.0045231,           0.0070878,            0.002674,            0.002674,            0.002674
                  76,              0.0341,            0.015082,           0.0089245,             0.80353,             0.90403,               0.907,               0.622,            0.014533,           0.0045231,           0.0070878,            0.002575,            0.002575,            0.002575
                  77,            0.038739,             0.01432,            0.010837,             0.72129,             0.99453,             0.84295,             0.63515,            0.013953,           0.0044075,           0.0076235,            0.002476,            0.002476,            0.002476
                  78,            0.032365,            0.015557,           0.0094186,             0.78456,             0.88167,             0.84424,             0.63001,            0.015045,           0.0042095,           0.0085901,            0.002377,            0.002377,            0.002377
                  79,            0.047442,            0.016035,            0.011693,             0.69167,             0.94696,              0.8225,             0.58019,            0.015603,           0.0041398,           0.0091845,            0.002278,            0.002278,            0.002278
                  80,            0.021086,            0.013674,            0.008755,             0.69167,             0.94696,              0.8225,             0.58019,            0.015603,           0.0041398,           0.0091845,            0.002179,            0.002179,            0.002179
                  81,            0.044901,            0.015282,            0.012152,             0.69213,              0.8991,             0.82383,             0.64587,            0.014358,           0.0040232,           0.0095791,             0.00208,             0.00208,             0.00208
                  82,             0.02845,            0.014178,            0.010351,             0.76357,             0.89175,             0.83313,             0.61412,            0.015669,           0.0040084,           0.0098458,            0.001981,            0.001981,            0.001981
                  83,            0.039229,            0.013227,           0.0079557,             0.72641,               0.834,             0.80506,             0.57582,            0.015566,            0.003872,            0.010102,            0.001882,            0.001882,            0.001882
                  84,            0.036697,            0.013351,            0.024609,             0.72641,               0.834,             0.80506,             0.57582,            0.015566,            0.003872,            0.010102,            0.001783,            0.001783,            0.001783
                  85,             0.03202,            0.014309,            0.009823,             0.72236,             0.84694,             0.80479,             0.57955,            0.015102,           0.0038342,            0.010453,            0.001684,            0.001684,            0.001684
                  86,            0.024317,            0.012456,            0.020765,             0.71846,             0.85105,             0.82025,             0.56728,            0.015351,           0.0039066,            0.010557,            0.001585,            0.001585,            0.001585
                  87,            0.032569,             0.01399,           0.0082443,             0.73236,             0.84563,             0.81139,             0.62195,            0.015231,           0.0040465,            0.010781,            0.001486,            0.001486,            0.001486
                  88,            0.044654,            0.014787,            0.010812,             0.73236,             0.84563,             0.81139,             0.62195,            0.015231,           0.0040465,            0.010781,            0.001387,            0.001387,            0.001387
                  89,            0.035332,            0.012589,           0.0079658,             0.71806,             0.84565,             0.80221,             0.61939,            0.014691,           0.0040532,            0.010973,            0.001288,            0.001288,            0.001288
                  90,            0.035495,            0.013914,            0.019053,             0.72909,             0.82863,             0.78659,             0.55257,            0.015389,           0.0039882,            0.011339,            0.001189,            0.001189,            0.001189
                  91,            0.023824,            0.012755,             0.01341,             0.72344,             0.83506,             0.79163,             0.57477,            0.014006,           0.0039194,            0.011474,             0.00109,             0.00109,             0.00109
                  92,            0.025808,            0.011516,           0.0065464,             0.72344,             0.83506,             0.79163,             0.57477,            0.014006,           0.0039194,            0.011474,            0.000991,            0.000991,            0.000991
                  93,            0.034223,            0.012609,           0.0067885,             0.72643,             0.82998,             0.78792,             0.55152,            0.013788,           0.0039427,            0.011793,            0.000892,            0.000892,            0.000892
                  94,             0.01676,            0.011667,           0.0067618,             0.75791,             0.88509,             0.81461,              0.5741,            0.013261,           0.0039217,            0.011812,            0.000793,            0.000793,            0.000793
                  95,            0.033405,            0.013139,            0.008236,             0.75848,             0.88829,             0.81461,             0.57549,            0.013209,           0.0039021,            0.011728,            0.000694,            0.000694,            0.000694
                  96,            0.024762,            0.010844,           0.0082135,             0.75848,             0.88829,             0.81461,             0.57549,            0.013209,           0.0039021,            0.011728,            0.000595,            0.000595,            0.000595
                  97,            0.033868,            0.010987,           0.0087811,             0.75794,             0.88943,             0.81461,             0.57498,            0.013045,           0.0038883,            0.011733,            0.000496,            0.000496,            0.000496
                  98,            0.033743,            0.014048,           0.0064707,             0.69928,             0.88252,             0.79573,             0.58279,            0.012926,            0.003905,            0.011659,            0.000397,            0.000397,            0.000397
                  99,            0.028458,            0.013987,           0.0087367,             0.74616,             0.83342,             0.81119,              0.6098,            0.013018,           0.0038704,            0.011436,            0.000298,            0.000298,            0.000298
